SUBJECT_NUMBER;ARMCIRCBCPS_FLEX;BUTTOCK_CIRC;CALF_CIRC;CHEST_CIRC;FOREARM_CIRC-FLEXED;SHOULDER_CIRC;STATURE;THIGH_CIRC-PROXIMAL;WAIST_CIRC_NATURAL;WEIGHT;GENDER;AGE-ANSUR88;WORKOUT
6050;312;955;343;877;290;1118;1867;563;778;713;1;24;A2
6057;345;932;354;1003;299;1182;1718;570;795;721;1;19;A3
6098;387;1140;421;1161;333;1302;1877;713;988;1065;1;21;A1
6118;362;1063;430;1066;322;1205;1704;639;912;856;1;31;A2
6126;315;914;349;920;294;1138;1828;521;782;705;1;25;A3
6137;347;1022;385;996;310;1196;1750;624;861;817;1;18;A1
6156;365;1000;371;930;302;1139;1709;600;844;777;1;37;A2
6179;360;906;347;978;311;1103;1694;532;790;669;1;22;A3
6194;320;918;361;931;301;1107;1818;530;746;709;1;20;A1
6208;329;961;353;1006;292;1206;1787;586;811;736;1;22;A2
6211;280;851;318;855;262;1092;1705;492;718;562;1;27;A3
6214;352;1007;361;967;294;1161;1678;608;793;742;1;24;A1
6218;336;981;385;972;287;1188;1642;601;825;729;1;23;A2
6219;317;871;353;912;310;1061;1634;506;750;610;1;32;A3
6233;327;934;371;986;302;1178;1718;557;775;711;1;38;A1
6245;328;957;375;945;295;1141;1754;577;822;738;1;26;A2
6250;316;966;371;901;280;1129;1763;582;768;710;1;20;A3
6252;332;943;370;974;295;1179;1790;566;868;761;1;24;A1
6266;370;996;385;994;315;1158;1623;628;898;781;1;40;A2
6286;385;1036;395;1091;339;1329;1935;635;898;1003;1;20;A3
6291;360;1001;370;1023;319;1202;1796;612;831;822;1;24;A1
6311;376;1078;397;1078;328;1270;1806;649;921;942;1;20;A2
6334;385;1097;421;1168;324;1333;1765;692;1025;1016;1;26;A3
6335;298;925;367;907;282;1159;1765;551;771;714;1;29;A1
6342;388;1113;391;1105;337;1286;1804;696;995;1005;1;36;A2
6345;347;1035;408;1026;327;1232;1825;620;885;879;1;22;A3
6364;355;1031;414;1079;322;1247;1880;631;887;833;1;27;A1
6371;287;835;305;840;278;1061;1673;481;687;523;1;26;A2
6372;323;979;379;934;288;1168;1734;560;818;731;1;33;A3
6374;342;966;372;967;304;1151;1718;580;799;745;1;19;A1
6375;350;998;409;1050;305;1211;1675;619;918;840;1;35;A2
6382;369;1045;400;996;335;1218;1778;673;871;887;1;21;A3
6383;400;1083;404;1073;352;1259;1828;667;920;977;1;40;A1
6385;326;1005;367;917;298;1114;1756;616;808;729;1;19;A2
6389;317;940;356;915;295;1132;1685;526;759;657;1;24;A3
6410;352;1040;388;1045;304;1254;1730;615;910;851;1;21;A1
6415;312;923;349;944;297;1172;1672;526;796;663;1;23;A2
6466;342;952;360;1003;302;1184;1749;580;815;754;1;24;A3
6531;304;928;388;892;307;1128;1627;556;757;660;1;19;A1
6532;398;1112;429;1107;343;1263;1781;678;993;1008;1;40;A2
6538;308;852;324;849;274;1070;1667;482;676;548;1;21;A3
6555;368;1030;401;1023;334;1222;1762;656;903;888;1;22;A1
6572;390;1045;410;1143;338;1259;1814;656;1035;1016;1;37;A2
6593;356;1074;410;1049;317;1208;1742;605;887;869;1;38;A3
6600;329;892;340;870;290;1085;1765;524;722;633;1;23;A1
6621;325;971;379;985;318;1235;1892;565;855;815;1;26;A2
6624;338;1061;392;1052;302;1223;1823;641;886;856;1;21;A3
6632;351;1020;401;1009;312;1184;1723;636;836;801;1;27;A1
6646;330;927;358;958;302;1165;1748;563;810;711;1;29;A2
6647;325;868;321;865;294;1069;1696;517;682;577;1;20;A3
6652;357;1020;378;1116;316;1217;1724;634;958;880;1;21;A1
6653;304;821;326;900;275;1053;1715;465;708;542;1;25;A2
6656;320;950;360;925;308;1134;1807;530;748;724;1;21;A3
6680;317;929;355;887;271;1043;1705;569;748;640;1;24;A1
6693;290;993;381;1015;302;1101;1771;554;847;762;1;38;A2
6696;346;1007;406;941;318;1223;1725;629;868;803;1;29;A3
6737;337;1029;387;966;310;1155;1813;670;871;856;1;26;A1
6756;309;896;337;887;282;1112;1656;562;707;608;1;20;A2
6770;326;965;365;953;291;1118;1614;582;822;692;1;20;A3
6781;342;1027;395;965;287;1160;1817;605;771;800;1;20;A1
6826;355;1038;415;974;330;1232;1857;673;818;908;1;20;A2
6831;286;870;361;953;284;1137;1742;517;796;632;1;32;A3
6840;330;947;377;957;315;1179;1723;557;787;730;1;36;A1
6841;351;1041;382;973;315;1212;1687;630;860;808;1;21;A2
6851;318;938;350;958;304;1144;1792;568;784;713;1;24;A3
6856;318;957;352;970;289;1175;1799;549;848;741;1;29;A1
6858;348;1021;390;1066;316;1241;1657;630;928;824;1;23;A1
6867;380;1002;391;1013;330;1240;1718;621;834;816;1;24;A1
6918;378;1045;403;1095;308;1179;1838;645;1012;965;1;32;A1
6925;319;955;366;883;289;1066;1764;560;776;692;1;18;A1
6955;338;922;385;966;308;1135;1726;543;829;709;1;26;A1
6961;330;1021;408;965;302;1188;1845;640;839;853;1;34;A1
6962;372;1088;409;1069;318;1210;1704;672;940;909;1;51;A1
6965;307;982;380;1010;287;1153;1698;600;849;747;1;35;A1
6972;325;916;369;910;312;1109;1763;520;751;687;1;29;A1
6979;339;982;368;986;294;1143;1715;605;837;739;1;19;A1
6982;362;1038;421;1147;350;1295;1793;640;951;994;1;31;A1
6987;408;1066;418;1065;354;1271;1697;673;968;934;1;27;A1
6988;347;1024;360;1016;319;1200;1818;603;835;819;1;23;A1
7003;358;982;391;1065;327;1213;1793;611;833;853;1;19;A1
7053;380;1055;371;1091;323;1277;1708;635;974;890;1;37;A1
7063;370;996;361;1000;310;1128;1707;614;848;764;1;29;A1
7187;315;1022;388;955;310;1127;1827;628;755;799;1;23;A1
7190;343;1032;410;1018;305;1165;1658;634;879;791;1;40;A1
7192;342;989;369;1006;312;1214;1671;596;813;654;1;19;A1
7193;424;1220;427;1199;350;1323;1793;754;1038;1170;1;32;A1
7198;320;925;360;931;307;1086;1757;567;790;681;1;29;A1
7199;306;972;393;971;299;1089;1644;566;831;705;1;37;A1
7214;347;994;388;939;313;1149;1741;608;797;780;1;26;A1
7219;292;916;326;904;283;1062;1703;506;755;617;1;36;A1
7243;298;930;351;922;295;1116;1772;558;719;683;1;19;A1
7246;345;1025;413;1006;308;1197;1762;633;866;866;1;28;A1
7260;315;893;346;908;285;1037;1690;560;756;632;1;21;A1
7272;351;1038;427;1004;306;1191;1814;655;856;854;1;20;A1
7274;290;924;342;916;282;1119;1689;536;793;652;1;19;A1
7276;278;909;340;864;268;1083;1815;515;739;654;1;19;A1
7290;336;1026;424;1008;312;1188;1762;664;852;863;1;24;A1
7291;372;1024;399;999;333;1183;1685;642;871;826;1;27;A1
7295;328;1065;364;1035;300;1217;1755;636;885;850;1;34;A1
7304;342;1028;376;1092;313;1200;1920;604;997;980;1;41;A1
7305;338;986;403;959;295;1145;1848;599;829;792;1;21;A1
7310;311;1097;392;1045;295;1149;1793;671;879;882;1;27;A1
7313;352;960;369;1043;304;1184;1712;589;879;755;1;27;A1
7317;328;877;355;930;284;1163;1765;491;740;634;1;20;A1
7322;338;1022;366;1047;298;1172;1802;607;880;828;1;24;A1
7326;335;1027;424;1078;310;1200;1737;623;873;835;1;29;A1
7328;337;949;371;961;301;1144;1733;580;799;742;1;25;A1
7336;330;913;364;977;295;1131;1778;531;789;686;1;25;A1
7337;395;1108;404;1116;345;1302;1747;678;944;969;1;22;A1
7344;333;1025;380;1073;306;1132;1777;616;971;877;1;40;A1
7346;361;1080;405;1126;322;1204;1751;656;998;958;1;42;A1
7352;327;900;355;975;315;1154;1580;564;800;637;1;28;A1
7355;349;979;394;1081;322;1243;1815;596;864;823;1;28;A1
7357;320;929;386;903;312;1132;1731;561;758;688;1;22;A1
7361;322;950;381;976;301;1183;1727;575;828;763;1;20;A1
7376;372;1064;397;1114;325;1319;1800;658;939;964;1;21;A1
7452;359;1014;399;1083;329;1207;1721;602;999;895;1;42;A1
7454;346;979;412;1089;319;1229;1834;595;873;853;1;28;A1
7461;327;958;362;923;294;1084;1697;590;782;691;1;32;A1
7568;320;963;348;976;298;1137;1730;550;793;705;1;22;A1
7569;320;946;367;972;292;1096;1712;542;826;688;1;41;A1
7576;332;977;387;954;299;1161;1752;603;765;746;1;25;A1
7579;318;959;342;922;305;1113;1735;566;740;686;1;19;A1
7583;340;985;391;985;308;1189;1770;606;836;821;1;21;A1
7588;367;1055;397;1065;312;1252;1771;642;911;919;1;37;A1
7589;341;998;359;987;320;1161;1775;601;791;784;1;26;A1
7590;358;991;376;1023;307;1235;1792;615;821;805;1;22;A1
7598;325;933;338;983;288;1157;1721;570;776;700;1;25;A1
7599;382;1048;418;1034;338;1187;1849;617;867;937;1;21;A1
7625;338;978;405;964;292;1161;1702;596;755;741;1;19;A1
7692;327;968;363;987;300;1162;1811;555;802;771;1;19;A1
7705;370;1025;429;1107;328;1283;1844;640;878;919;1;22;A1
7714;336;847;329;875;285;1024;1667;534;719;567;1;19;A1
7720;375;1079;395;1018;336;1230;1717;672;839;886;1;28;A1
7739;324;960;385;963;298;1159;1750;560;835;717;1;32;A1
7745;345;973;361;985;301;1186;1795;571;778;759;1;38;A1
7774;372;1085;405;1101;320;1233;1794;692;985;982;1;34;A1
7813;322;949;390;934;300;1142;1696;569;786;715;1;21;A1
7832;363;971;401;1025;313;1236;1788;621;862;839;1;35;A1
7842;344;1020;401;938;317;1157;1700;640;790;773;1;19;A1
7844;315;918;353;859;279;1107;1719;546;769;659;1;28;A1
7851;334;999;375;958;302;1155;1834;581;826;806;1;25;A1
7890;323;962;362;1004;292;1175;1790;586;874;777;1;36;A1
7911;333;917;362;927;287;1159;1777;574;785;715;1;23;A1
7921;322;880;333;924;303;1104;1719;544;760;646;1;23;A1
7924;315;956;378;918;302;1129;1655;590;802;677;1;19;A1
7934;357;1033;405;1031;308;1240;1725;665;882;868;1;22;A1
7940;305;934;366;914;276;1107;1771;551;793;694;1;22;A1
7948;305;863;337;840;294;1074;1619;541;731;569;1;25;A1
7949;324;948;380;974;303;1161;1777;557;754;728;1;26;A1
7954;367;965;374;979;310;1193;1782;596;832;793;1;19;A1
7961;345;1072;404;1034;290;1207;1797;647;886;904;1;21;A1
7972;355;1046;424;998;322;1175;1768;658;832;873;1;19;A1
7973;360;985;385;1000;317;1158;1840;601;828;832;1;21;A1
7975;330;980;367;990;310;1162;1622;589;935;741;1;48;A1
7978;349;1017;402;1001;301;1214;1810;615;840;845;1;24;A1
7981;331;901;350;899;292;1122;1662;546;782;655;1;22;A1
8022;301;902;368;891;280;1103;1724;504;736;630;1;26;A1
8023;362;999;364;977;308;1229;1738;626;805;793;1;26;A1
8024;335;951;371;974;295;1154;1638;586;827;690;1;31;A1
8029;335;994;365;1029;291;1185;1797;601;830;795;1;21;A1
8032;310;965;353;923;286;1112;1767;582;806;717;1;33;A1
8033;368;1039;387;1076;321;1276;1792;629;919;881;1;38;A1
8036;331;886;336;905;286;1114;1695;540;745;620;1;22;A1
8038;410;1025;411;1084;347;1250;1785;633;852;908;1;20;A1
8051;348;992;376;1043;311;1221;1696;602;838;776;1;21;A1
8058;338;982;379;969;309;1179;1733;596;844;779;1;30;A1
8063;324;1008;382;977;305;1199;1803;616;865;815;1;29;A1
8064;370;1055;396;1029;315;1235;1812;642;947;914;1;30;A1
8065;320;1065;373;1029;295;1180;1825;651;951;907;1;23;A1
8066;345;1004;378;1015;325;1239;1875;611;880;851;1;34;A1
8068;322;958;396;1002;300;1174;1862;579;773;788;1;24;A1
8071;266;812;315;775;244;966;1575;477;647;476;1;22;A1
8076;335;990;366;975;302;1136;1731;595;842;773;1;22;A1
8094;359;972;363;1055;294;1204;1692;616;856;757;1;31;A1
8110;292;942;363;928;275;1106;1847;534;790;715;1;31;A1
8126;311;891;354;893;286;1092;1653;494;704;610;1;19;A1
8132;322;930;351;922;320;1115;1778;546;772;693;1;21;A1
8145;308;1052;357;974;284;1177;1817;630;890;834;1;19;A1
8152;348;962;391;1016;315;1177;1663;617;882;787;1;36;A1
8153;320;960;375;991;294;1142;1811;575;852;791;1;35;A1
8155;310;923;348;954;302;1143;1824;510;749;686;1;25;A1
8156;334;923;337;951;289;1117;1734;557;817;701;1;35;A1
8158;340;950;391;992;322;1188;1700;607;779;734;1;21;A1
8163;340;1009;382;1045;303;1197;1800;611;882;836;1;32;A1
8172;348;1004;398;991;305;1205;1752;620;829;790;1;22;A1
8186;322;984;410;978;300;1158;1857;591;844;828;1;29;A1
8188;330;1056;412;993;294;1170;1835;622;864;893;1;19;A1
8192;344;999;388;1092;298;1253;1667;610;946;809;1;28;A1
8200;314;892;350;863;270;1082;1591;546;749;589;1;20;A1
8206;353;995;395;969;318;1186;1656;632;857;790;1;24;A1
8207;340;964;355;974;300;1172;1777;599;823;757;1;30;A1
8212;318;994;379;1039;287;1174;1767;584;940;827;1;30;A1
8213;342;988;402;956;291;1134;1845;594;798;817;1;37;A1
8275;328;982;379;931;293;1128;1683;592;837;750;1;36;A1
8315;317;889;358;913;291;1079;1818;519;726;653;1;25;A1
8365;369;1063;403;1069;317;1283;1720;643;954;916;1;28;A1
8370;335;1000;354;978;302;1155;1740;591;788;739;1;20;A1
8377;362;1007;360;1021;310;1194;1758;635;835;822;1;22;A1
8388;367;1006;369;1015;319;1197;1707;623;856;790;1;20;A1
8438;332;994;363;961;300;1156;1706;607;806;755;1;32;A1
8443;366;1079;396;1085;332;1302;1745;667;944;927;1;23;A1
8465;342;989;354;1065;300;1271;1733;595;949;836;1;44;A1
8466;312;988;352;985;271;1135;1740;603;837;740;1;20;A1
8479;325;928;360;920;306;1156;1768;554;746;705;1;20;A1
8497;358;961;383;1018;314;1203;1800;581;808;799;1;19;A1
8498;316;939;367;927;300;1149;1756;565;804;710;1;40;A1
8514;276;895;365;875;270;1093;1758;510;764;642;1;30;A1
8518;387;1074;402;1030;342;1168;1818;680;902;952;1;22;A1
8530;362;1022;400;1172;321;1352;1797;621;1017;980;1;45;A1
8532;332;925;374;917;288;1130;1891;576;791;777;1;22;A1
8556;360;974;404;1005;327;1253;1858;597;867;890;1;30;A1
8599;372;1036;395;1076;340;1257;1873;643;919;942;1;24;A1
8602;355;929;368;966;301;1199;1672;563;784;679;1;20;A1
8633;341;1026;402;1050;300;1209;1659;629;879;797;1;36;A1
8634;344;961;372;934;307;1132;1711;584;808;726;1;25;A1
8638;436;1071;377;1195;349;1375;1735;688;981;1005;1;28;A1
8665;304;911;341;919;291;1092;1807;529;770;674;1;21;A1
8669;299;870;327;908;274;1120;1700;479;718;598;1;25;A1
8699;305;954;365;959;280;1172;1702;563;807;706;1;28;A1
8706;310;938;348;917;298;1144;1810;523;747;698;1;21;A1
8711;342;1032;413;1043;315;1165;1807;626;897;890;1;38;A1
8717;315;955;374;963;282;1133;1710;580;788;711;1;18;A1
8731;377;1043;385;1084;327;1254;1804;629;904;898;1;34;A1
8735;347;1028;394;1054;309;1200;1738;613;913;856;1;48;A1
8739;322;971;367;952;286;1146;1814;593;798;753;1;28;A1
8740;298;907;355;927;282;1124;1795;526;767;671;1;32;A1
8741;352;994;393;1035;315;1187;1652;620;840;764;1;30;A1
8743;344;940;395;985;319;1148;1721;576;821;749;1;27;A1
8782;322;930;344;910;301;1114;1674;579;781;665;1;22;A1
8801;370;1025;387;994;350;1228;1843;628;844;875;1;22;A1
8803;339;980;415;1004;305;1209;1801;609;858;829;1;23;A1
8827;325;910;353;901;300;1138;1780;537;719;687;1;20;A1
8833;303;929;375;927;258;1089;1662;593;832;692;1;31;A1
8854;333;999;387;995;305;1199;1712;592;857;772;1;29;A1
8858;350;1041;384;1089;305;1194;1778;612;983;886;1;44;A1
8896;315;972;344;953;295;1165;1771;577;821;745;1;26;A1
8897;342;951;363;860;290;1076;1608;579;753;648;1;20;A1
8914;372;1033;382;1002;334;1218;1682;626;910;840;1;32;A1
8924;342;968;378;1000;298;1208;1778;557;852;788;1;35;A1
8933;370;1093;435;1143;330;1287;1857;702;968;1095;1;28;A1
8953;339;970;372;953;294;1185;1744;569;849;762;1;30;A1
8959;371;1120;400;1174;293;1319;1832;680;1112;1112;1;34;A1
8962;320;941;369;919;293;1098;1622;561;765;645;1;19;A1
8964;340;956;372;948;315;1135;1742;567;756;714;1;23;A1
8976;348;1109;393;1024;322;1275;1777;674;895;902;1;22;A1
8980;339;1079;412;1089;303;1265;1822;645;934;937;1;27;A1
8984;340;1020;373;1036;302;1154;1748;618;928;813;1;34;A1
8998;373;1004;370;1004;315;1188;1836;601;784;821;1;18;A1
9004;372;1094;427;1124;345;1294;1748;659;1034;1014;1;37;A1
9023;355;1009;378;1004;318;1145;1712;601;846;795;1;23;A1
9024;340;992;372;1011;307;1136;1820;615;877;811;1;22;A1
9058;328;944;333;958;290;1148;1823;563;745;708;1;19;A1
9081;331;907;372;976;306;1139;1690;568;788;695;1;22;A1
9101;311;983;365;939;275;1098;1572;574;876;674;1;35;A1
9115;350;1053;403;1080;310;1306;1875;662;904;985;1;21;A1
9118;347;954;397;919;329;1182;1811;557;737;781;1;20;A1
9151;342;981;369;995;295;1177;1599;591;868;734;1;24;A1
9157;354;1065;411;1131;330;1231;1777;651;1005;977;1;23;A1
9170;352;1014;395;974;295;1191;1730;652;847;806;1;23;A1
9177;344;1021;395;1050;303;1217;1778;635;887;866;1;23;A1
9180;305;876;353;912;282;1078;1692;528;774;639;1;33;A1
9231;319;963;380;972;305;1212;1850;579;830;800;1;27;A1
9247;360;999;413;1057;344;1288;1751;630;901;893;1;30;A1
9250;341;922;385;964;307;1161;1764;552;818;741;1;25;A1
9255;338;998;388;999;305;1225;1813;610;821;811;1;21;A1
9271;348;1036;384;1072;327;1244;1772;617;955;851;1;29;A1
9283;355;1008;379;1036;309;1211;1802;605;843;816;1;21;A1
9290;338;979;368;925;310;1155;1722;579;815;741;1;28;A1
9294;342;1027;390;1016;301;1202;1829;633;851;875;1;23;A1
9304;308;984;349;979;289;1145;1890;564;851;808;1;32;A1
9313;375;1030;414;1066;335;1299;1807;658;880;933;1;20;A1
9321;351;981;378;975;321;1209;1640;615;792;727;1;36;A1
9329;355;1040;401;980;299;1194;1752;653;851;869;1;25;A1
9333;350;939;371;947;300;1153;1675;572;809;706;1;21;A1
9337;346;1046;350;1050;306;1213;1782;647;924;872;1;35;A1
9342;333;939;337;976;305;1176;1881;548;815;746;1;31;A1
9350;347;990;418;988;320;1222;1831;610;836;841;1;24;A1
9362;359;995;371;994;306;1194;1806;584;823;803;1;22;A1
9365;311;985;372;945;284;1191;1849;568;800;785;1;25;A1
9368;330;998;417;1075;292;1253;1728;621;921;837;1;34;A1
9371;346;1006;381;1032;304;1217;1741;608;839;804;1;20;A1
9406;315;918;355;947;297;1116;1687;542;792;664;1;25;A1
9412;313;930;356;952;296;1129;1778;523;818;708;1;33;A1
9503;403;984;388;1016;332;1233;1651;612;819;795;1;26;A1
9512;382;1087;406;1076;330;1261;1827;690;930;1000;1;28;A1
9514;381;1110;407;1190;334;1313;1806;677;1047;1044;1;35;A1
9529;330;1038;403;1033;297;1165;1788;630;891;881;1;25;A1
9547;292;899;321;824;275;1044;1733;539;735;603;1;20;A1
9550;345;1020;383;952;305;1176;1886;572;755;823;1;28;A1
9567;331;995;329;928;293;1209;1807;578;766;755;1;23;A1
9593;336;1012;389;1013;298;1194;1826;614;832;819;1;20;A1
9613;300;911;370;903;270;1140;1740;549;745;659;1;22;A1
9624;322;983;398;1054;297;1212;1911;592;932;893;1;23;A1
9628;340;983;332;1006;322;1155;1770;575;872;772;1;41;A1
9639;310;867;358;872;278;1082;1785;485;703;613;1;21;A1
9665;357;974;396;1027;313;1203;1713;602;807;789;1;35;A1
9717;380;1066;409;1038;315;1245;1782;676;889;905;1;26;A1
9742;342;864;319;919;305;1122;1685;518;718;605;1;22;A1
9748;339;962;374;1011;335;1207;1873;560;794;792;1;20;A1
9775;378;1058;425;1053;306;1274;1763;657;896;922;1;24;A1
9778;304;983;386;908;286;1172;1778;604;806;747;1;26;A1
9779;337;982;378;986;306;1175;1827;593;821;798;1;26;A1
9783;353;920;395;959;318;1169;1797;539;809;698;1;25;A1
9792;371;1121;466;1115;335;1299;1821;727;977;1067;1;32;A1
9809;307;950;333;924;267;1119;1746;530;802;670;1;33;A1
9814;355;1024;401;1103;318;1267;1819;662;964;954;1;36;A1
9827;418;1124;424;1050;341;1294;1766;701;924;1011;1;31;A1
9841;368;919;390;994;325;1211;1765;571;810;744;1;23;A1
9842;332;928;343;928;291;1086;1696;566;772;678;1;19;A1
9845;412;1064;428;1079;341;1291;1752;655;893;939;1;24;A1
9851;341;958;376;953;308;1142;1689;568;828;715;1;29;A1
9855;402;1124;404;1156;328;1317;1733;729;933;1005;1;21;A1
9856;324;955;393;980;298;1137;1726;561;833;742;1;38;A1
9858;352;1009;395;1061;304;1253;1802;647;904;873;1;20;A1
9859;330;960;367;934;302;1125;1715;577;759;708;1;24;A1
9860;320;962;354;968;281;1147;1767;569;790;729;1;22;A1
9861;319;956;364;916;278;1124;1770;589;741;696;1;18;A1
9864;311;891;365;856;288;1084;1730;533;730;657;1;26;A1
9867;342;965;385;943;300;1163;1655;585;781;724;1;26;A1
9871;382;980;394;1015;328;1252;1699;598;868;794;1;29;A1
9877;376;1108;411;1101;324;1291;1771;702;964;998;1;26;A1
9881;356;987;380;976;302;1224;1660;615;874;778;1;27;A1
9888;302;909;347;900;275;1141;1903;526;716;714;1;18;A1
9897;313;940;377;964;301;1146;1752;532;780;710;1;21;A1
9899;349;1025;396;1039;308;1214;1714;640;878;834;1;22;A1
9900;376;1054;417;1016;339;1230;1824;653;885;937;1;33;A1
9906;330;968;393;997;300;1169;1787;582;816;793;1;31;A1
9909;388;1005;418;1058;333;1247;1809;630;846;905;1;22;A1
9912;327;940;375;979;285;1184;1691;570;806;705;1;18;A1
9914;363;1105;433;1111;332;1263;1802;687;998;1002;1;35;A1
9917;351;1033;400;1083;309;1282;1740;671;958;915;1;30;A1
9922;337;971;356;1002;310;1216;1692;569;799;735;1;21;A1
9944;322;878;361;1007;288;1151;1732;495;726;651;1;39;A1
9947;350;1018;376;1005;306;1219;1759;625;867;822;1;31;A1
9965;360;1080;396;1062;310;1190;1886;672;929;946;1;23;A1
9974;337;974;365;948;307;1144;1828;606;842;788;1;28;A1
9982;330;942;376;944;282;1165;1664;582;866;707;1;28;A1
10004;344;1008;363;981;300;1179;1750;614;798;768;1;24;A1
10014;315;956;381;888;315;1147;1857;581;748;780;1;23;A1
10025;350;1058;431;1019;330;1220;1775;662;895;901;1;31;A1
10027;325;969;389;929;285;1159;1783;595;782;757;1;20;A1
10034;347;1080;412;1089;327;1296;1908;661;978;1033;1;34;A1
10039;312;904;330;926;297;1104;1748;527;759;658;1;21;A1
10066;340;992;406;1035;317;1178;1682;622;931;860;1;33;A1
10067;365;1054;403;1031;322;1237;1891;622;845;907;1;25;A1
10087;334;951;380;978;302;1161;1728;593;784;725;1;31;A1
10088;361;925;387;910;323;1148;1720;573;753;742;1;26;A1
10089;285;957;362;902;259;1085;1804;580;802;708;1;20;A1
10090;315;974;403;937;287;1136;1760;602;824;758;1;18;A1
10094;302;875;328;978;290;1167;1700;521;767;613;1;24;A1
10096;324;992;358;1041;305;1205;1679;614;879;756;1;36;A1
10098;322;980;388;983;295;1119;1707;628;844;757;1;30;A1
10100;315;923;358;966;305;1129;1698;538;809;664;1;45;A1
10101;323;909;392;941;285;1139;1643;562;764;656;1;36;A1
10113;280;885;325;873;272;1041;1597;500;765;550;1;40;A1
10119;310;848;315;918;282;1106;1693;494;708;572;1;38;A1
10120;330;979;390;983;312;1173;1801;605;821;783;1;38;A1
10176;305;903;346;899;288;1139;1760;493;744;637;1;25;A1
10205;367;1070;381;1142;320;1218;1741;668;932;881;1;26;A1
10231;322;937;368;912;297;1119;1702;574;735;681;1;23;A1
10312;318;940;372;943;304;1104;1728;551;782;690;1;23;A1
10336;360;1065;390;1060;340;1241;1955;664;901;994;1;22;A1
10353;343;956;370;940;296;1142;1667;574;818;702;1;24;A1
10374;347;941;374;1043;304;1194;1764;588;746;766;1;24;A1
10375;330;938;390;954;282;1169;1744;551;815;701;1;24;A1
10388;310;947;360;911;294;1144;1877;550;772;752;1;20;A1
10394;360;1060;402;1122;323;1243;1878;641;964;978;1;33;A1
10403;408;1005;391;1029;335;1221;1792;636;811;882;1;20;A1
10413;351;1116;412;984;303;1182;1895;660;924;959;1;22;A1
10414;335;936;379;1020;302;1188;1628;557;802;722;1;19;A1
10451;330;974;359;1010;295;1174;1717;616;809;737;1;18;A1
10452;362;926;367;959;317;1185;1673;564;809;720;1;20;A1
10454;310;952;393;975;307;1175;1732;609;818;778;1;25;A1
10469;333;1011;385;1009;299;1165;1693;605;897;809;1;20;A1
10484;337;1001;401;1014;323;1201;1783;612;897;837;1;31;A1
10487;346;1054;418;1048;310;1243;1802;663;930;917;1;21;A1
10496;320;1009;398;1045;288;1209;1801;619;924;858;1;38;A1
10504;340;974;361;1007;311;1188;1747;586;817;777;1;35;A1
10631;307;1000;344;1009;282;1164;1775;599;958;810;1;38;A1
10636;322;975;385;966;294;1215;1753;577;833;765;1;26;A1
10645;359;1029;424;1040;315;1249;1760;645;884;877;1;22;A1
10648;365;960;365;1045;328;1236;1788;614;817;829;1;28;A1
10668;282;918;350;939;275;1120;1837;527;719;658;1;21;A1
10678;318;1021;405;1049;287;1218;1735;642;866;834;1;21;A1
10684;362;1052;385;1041;322;1204;1756;661;929;890;1;22;A1
10705;380;984;401;1073;315;1240;1883;596;819;887;1;29;A1
10706;372;1081;390;991;322;1206;1722;674;865;868;1;20;A1
10708;345;963;378;970;309;1182;1725;575;773;748;1;23;A1
10719;357;1076;409;1069;322;1225;1762;659;934;921;1;36;A1
10726;340;1022;401;1044;295;1204;1694;634;919;825;1;22;A1
10734;335;1020;370;982;306;1209;1834;624;895;858;1;32;A1
10738;343;943;337;969;286;1145;1737;562;802;730;1;23;A1
10757;371;1080;401;1138;338;1296;1697;655;984;945;1;35;A1
10770;371;1061;400;1104;315;1299;1768;637;988;945;1;31;A1
10775;324;918;344;915;303;1133;1912;541;768;754;1;19;A1
10784;370;905;354;986;297;1161;1765;560;762;732;1;26;A1
10800;333;989;372;989;300;1182;1724;620;841;774;1;19;A1
10805;330;950;362;1018;293;1182;1799;562;788;739;1;19;A1
10823;400;1135;446;1124;342;1334;1786;710;965;1067;1;26;A1
10826;315;862;327;884;308;1102;1655;518;778;619;1;39;A1
10831;343;929;369;932;295;1172;1774;581;742;721;1;21;A1
10859;318;923;345;1000;285;1168;1770;573;884;739;1;30;A1
10860;433;1235;470;1229;372;1424;1815;759;1074;1278;1;38;A1
10862;342;1052;391;1112;295;1192;1832;646;954;940;1;34;A1
10865;358;1017;366;1054;312;1244;1767;611;934;852;1;42;A1
10874;345;1047;387;997;306;1181;1790;656;908;894;1;21;A1
10888;303;944;344;932;287;1142;1706;548;762;675;1;21;A1
10892;315;912;364;864;280;1076;1671;540;733;605;1;39;A1
10995;299;905;349;941;290;1151;1718;509;735;627;1;21;A1
11017;313;911;328;914;302;1075;1781;518;763;667;1;20;A1
11031;297;898;323;928;270;1094;1620;544;798;608;1;32;A1
11043;325;975;351;947;285;1128;1728;588;810;708;1;19;A1
11051;315;909;342;931;290;1133;1776;539;768;683;1;20;A1
11054;287;874;351;878;266;1123;1727;514;753;635;1;25;A1
11055;328;991;377;988;293;1181;1720;600;834;762;1;24;A1
11069;325;931;371;974;292;1136;1588;562;857;672;1;26;A1
11073;372;1080;400;1076;338;1258;1725;698;948;970;1;27;A1
11084;367;955;368;928;325;1160;1685;599;792;719;1;33;A1
11090;370;1036;395;1075;332;1301;1796;632;923;896;1;29;A1
